original,uniformat,equivalent
Wen-Fang Liu,Wen-Fang Liu,"['Wen-Fang Liu', 'Liu, Wen-Fang']"
"Wang, Wen-Gine",Wen-Gine Wang,"['Wang, Wen-Gine']"
Wen-Hao Chen,Wen-Hao Chen,['Wen-Hao Chen']
"Chuang, Wen-I",Wen-I Chuang,"['Chuang, Wen-I']"
"Tsay, Wen-Jen",Wen-Jen Tsay,"['Tsay, Wen-Jen']"
"Lin, Wen-Ling",Wen-Ling Lin,"['Lin, Wen-Ling']"
"Liu, Wen-Rang",Wen-Rang Liu,"['Liu, Wen-Rang']"
"Hsu, Wen-Tai",Wen-Tai Hsu,"['Hsu, Wen-Tai']"
"Hsiao, Wen-tzong",Wen-tzong Hsiao,"['Hsiao, Wen-tzong']"
"Chang, Wen-ya",Wen-ya Chang,"['Chang, Wen-ya']"
"Gonzalez-Manteiga, Wenceslao",Wenceslao Gonzalez-Manteiga,"['Gonzalez-Manteiga, Wenceslao']"
Wenchao Jin,Wenchao Jin,['Wenchao Jin']
"Schnedler, Wendelin",Wendelin Schnedler,"['Schnedler, Wendelin', 'Wendelin Schnedler']"
"Fleming, Wendell H.",Wendell H. Fleming,"['Fleming, Wendell H.']"
Wendy A. Stock,Wendy A. Stock,['Wendy A. Stock']
Wendy Carlin,Wendy Carlin,"['Wendy Carlin', 'Carlin, Wendy']"
"Cunningham, Wendy",Wendy Cunningham,"['Cunningham, Wendy']"
Wendy Dobson,Wendy Dobson,['Wendy Dobson']
"Takacs, Wendy E",Wendy E Takacs,"['Takacs, Wendy E', 'Takacs, Wendy E.', 'Takacs, Wendy']"
"Edelberg, Wendy",Wendy Edelberg,"['Edelberg, Wendy', 'Wendy Edelberg']"
"Janssens, Wendy",Wendy Janssens,"['Janssens, Wendy']"
"Rayack, Wendy L",Wendy L Rayack,"['Rayack, Wendy L']"
"Gramm, Wendy Lee",Wendy Lee Gramm,"['Gramm, Wendy Lee']"
"Rotenberg, Wendy",Wendy Rotenberg,"['Rotenberg, Wendy']"
"Roth, Wendy",Wendy Roth,"['Roth, Wendy']"
"Wu, Wenfeng",Wenfeng Wu,"['Wu, Wenfeng']"
"Hui, Weng T.",Weng T. Hui,"['Hui, Weng T.', 'Hui, W T']"
"Chen, Wenjie",Wenjie Chen,"['Chen, Wenjie']"
"Wang, Wenjie",Wenjie Wang,"['Wang, Wenjie']"
Wenjin Kang,Wenjin Kang,"['Wenjin Kang', 'Kang, Wenjin']"
"Zhu, Wenjun",Wenjun Zhu,"['Zhu, Wenjun']"
Wenlan Qian,Wenlan Qian,"['Wenlan Qian', 'Qian, Wenlan']"
"Li, Wenli",Wenli Li,"['Li, Wenli']"
"Wang, Wenli",Wenli Wang,"['Wang, Wenli']"
"Wang, Wenming",Wenming Wang,"['Wang, Wenming']"
"Zheng, Wenping",Wenping Zheng,"['Zheng, Wenping']"
"Zhang, Wenrui",Wenrui Zhang,"['Zhang, Wenrui']"
"Kang, Wensheng",Wensheng Kang,"['Kang, Wensheng']"
"Peng, Wensheng",Wensheng Peng,"['Peng, Wensheng']"
"Xie, Wensi",Wensi Xie,"['Xie, Wensi']"
"Xiong, Wentao",Wentao Xiong,"['Xiong, Wentao']"
Wenxi Jiang,Wenxi Jiang,['Wenxi Jiang']
Wenxin Du,Wenxin Du,['Wenxin Du']
"Zhang, Wenyang",Wenyang Zhang,"['Zhang, Wenyang']"
"Shen, Wenyi",Wenyi Shen,"['Shen, Wenyi']"
Wenyu Wang,Wenyu Wang,['Wenyu Wang']
"Zhu, Wenyu",Wenyu Zhu,"['Zhu, Wenyu']"
"Zhang, Wenzhang",Wenzhang Zhang,"['Zhang, Wenzhang']"
Wen‐Tai Hsu,Wen‐Tai Hsu,['Wen‐Tai Hsu']
Werlang Sergio Ribeiro Da Costa,Werlang Sergio Ribeiro Da Costa,['Werlang Sergio Ribeiro Da Costa']
Werner Antweiler,Werner Antweiler,"['Werner Antweiler', 'Antweiler, Werner']"
"Baer, Werner",Werner Baer,"['Baer, Werner', 'Werner Baer']"
"Boge, Werner",Werner Boge,"['Boge, Werner']"
"Bönte, Werner",Werner Bönte,"['Bönte, Werner']"
"De Bondt, Werner F M",Werner F M De Bondt,"['De Bondt, Werner F M', 'Werner De Bondt', 'De Bondt, Werner F. M.']"
"Muller, Werner G",Werner G Muller,"['Muller, Werner G']"
"Guth, Werner",Werner Guth,"['Guth, Werner']"
Werner G¸th,Werner G¸th,['Werner G¸th']
Werner Güth,Werner Güth,['Werner Güth']
"Inderbitzin, Werner",Werner Inderbitzin,"['Inderbitzin, Werner']"
"Jammernegg, Werner",Werner Jammernegg,"['Jammernegg, Werner']"
"Lachmann, Werner",Werner Lachmann,"['Lachmann, Werner']"
"Oettli, Werner",Werner Oettli,"['Oettli, Werner']"
Werner Ploberger,Werner Ploberger,"['Werner Ploberger', 'Ploberger, Werner']"
Werner Roeger,Werner Roeger,"['Werner Roeger', 'Roeger, Werner']"
"Roger, Werner",Werner Roger,"['Roger, Werner']"
"Scharf, Werner",Werner Scharf,"['Scharf, Werner']"
Werner Stanzl,Werner Stanzl,['Werner Stanzl']
"Teufelsbauer, Werner",Werner Teufelsbauer,"['Teufelsbauer, Werner']"
Werner Troesken,Werner Troesken,"['Werner Troesken', 'Troesken, Werner']"
Werner W. Pommerehne,Werner W. Pommerehne,"['Werner W. Pommerehne', 'Pommerehne, Werner W', 'Pommerehne, Werner W.']"
"Hirsch, Werner Z",Werner Z Hirsch,"['Hirsch, Werner Z', 'W. Z. Hirsch', 'Hirsch, Werner Z.']"
"Ziegler, Werner",Werner Ziegler,"['Ziegler, Werner']"
"Magat, Wesley A",Wesley A Magat,"['Magat, Wesley A', 'Magat, W A']"
Wesley C. Ballaine,Wesley C. Ballaine,['Wesley C. Ballaine']
Wesley C. Mitchell,Wesley C. Mitchell,['Wesley C. Mitchell']
"Seitz, Wesley D",Wesley D Seitz,"['Seitz, Wesley D']"
"Jones, Wesley H",Wesley H Jones,"['Jones, Wesley H']"
Wesley Lindow,Wesley Lindow,['Wesley Lindow']
"Cohen, Wesley M",Wesley M Cohen,"['Cohen, Wesley M']"
"Mellow, Wesley S",Wesley S Mellow,"['Mellow, Wesley S', 'Mellow, Wesley']"
"Chan, Wesley S.",Wesley S. Chan,"['Chan, Wesley S.']"
"Wilson, Wesley W.",Wesley W. Wilson,"['Wilson, Wesley W.']"
"Yin, Wesley",Wesley Yin,"['Yin, Wesley', 'Wesley Yin']"
"Marquering, Wessel",Wessel Marquering,"['Marquering, Wessel']"
Wessel N. Vermeulen,Wessel N. Vermeulen,['Wessel N. Vermeulen']
Whalley John,Whalley John,['Whalley John']
Whitney K. Newey,Whitney K. Newey,"['Whitney K. Newey', 'Newey, W. K.', 'Whitney Newey', 'Newey, Whitney', 'K. Newey, Whitney', 'Newey, Whitney K.', 'Newey, Whitney K']"
Wieland M?ller,Wieland M?ller,['Wieland M?ller']
"Muller, Wieland",Wieland Muller,"['Muller, Wieland']"
Wieland Müller,Wieland Müller,"['Wieland Müller', 'Müller, Wieland']"
Wiemer Salverda,Wiemer Salverda,['Wiemer Salverda']
"Arulampalam, Wiji",Wiji Arulampalam,"['Arulampalam, Wiji', 'Wiji Arulampalam']"
"Narendranathan, Wiji",Wiji Narendranathan,"['Narendranathan, Wiji', 'Narendranathan, W', 'W. Narendranathan']"
"Prombutr, Wikrom",Wikrom Prombutr,"['Prombutr, Wikrom']"
Wilbert G. Fritz,Wilbert G. Fritz,['Wilbert G. Fritz']
Wilbert M. Schneider,Wilbert M. Schneider,"['Wilbert M. Schneider', 'W. Schneider']"
"Van der Klaauw, Wilbert",Wilbert Van der Klaauw,"['Van der Klaauw, Wilbert']"
Wilbert van der Klaauw,Wilbert van der Klaauw,"['Wilbert van der Klaauw', 'van der Klaauw, Wilbert']"
Wilbert vanderKlaauw,Wilbert vanderKlaauw,['Wilbert vanderKlaauw']
Wilbur A. Rapp,Wilbur A. Rapp,['Wilbur A. Rapp']
Wilbur A. Steger,Wilbur A. Steger,['Wilbur A. Steger']
"Monroe, Wilbur F.",Wilbur F. Monroe,"['Monroe, Wilbur F.']"
"Lewellen, Wilbur G.",Wilbur G. Lewellen,"['Lewellen, Wilbur G.', 'Lewellen, Wilbur G, et al', 'Lewellen, Wilbur G']"
"Coleman, Wilbur II",Wilbur II Coleman,"['Coleman, Wilbur II', 'John Coleman, Wilbur II']"
"Coleman, Wilbur John, II",Wilbur John Coleman,"['Coleman, Wilbur John, II', 'Wilbur John Coleman', 'John Coleman, Wilbur II']"
Wilbur John Coleman II,Wilbur John Coleman II,['Wilbur John Coleman II']
"ColemanII, Wilbur John",Wilbur John ColemanII,"['ColemanII, Wilbur John']"
Wilford J. Eiteman,Wilford J. Eiteman,['Wilford J. Eiteman']
"L'Esperance, Wilford L.",Wilford L. L'Esperance,"[""L'Esperance, Wilford L."", ""L'Esperance, Wilford L""]"
Wilfred Eldred,Wilfred Eldred,['Wilfred Eldred']
"Ethier, Wilfred",Wilfred Ethier,"['Ethier, Wilfred', 'Ethier, Wilfred J.', 'Ethier, Wilfred J', 'Wilfred J. Ethier']"
"David, Wilfred L",Wilfred L David,"['David, Wilfred L']"
Wilfred Malenbaum,Wilfred Malenbaum,['Wilfred Malenbaum']
Wilfred Prest,Wilfred Prest,['Wilfred Prest']
"Maldonado, Wilfredo L.",Wilfredo L. Maldonado,"['Maldonado, Wilfredo L.']"
"Lim, Wilfredo",Wilfredo Lim,"['Lim, Wilfredo']"
"Toledo, Wilfredo",Wilfredo Toledo,"['Toledo, Wilfredo']"
Wilfrid W. Csaplar,Wilfrid W. Csaplar,['Wilfrid W. Csaplar']
"Prewo, Wilfried E.",Wilfried E. Prewo,"['Prewo, Wilfried E.', 'Prewo, Wilfried']"
Wilfried Koch,Wilfried Koch,['Wilfried Koch']
"Parys, Wilfried",Wilfried Parys,"['Parys, Wilfried', 'Wilfried Parys']"
"Pauwels, Wilfried",Wilfried Pauwels,"['Pauwels, Wilfried']"
"Sand-Zantman, Wilfried",Wilfried Sand-Zantman,"['Sand-Zantman, Wilfried']"
Wilhelm Gehrig,Wilhelm Gehrig,['Wilhelm Gehrig']
Wilhelm Kohler,Wilhelm Kohler,"['Wilhelm Kohler', 'Kohler, Wilhelm']"
"Pfahler, Wilhelm",Wilhelm Pfahler,"['Pfahler, Wilhelm']"
Wilhelm Ropke,Wilhelm Ropke,['Wilhelm Ropke']
"Leigh, Wilhelmina A",Wilhelmina A Leigh,"['Leigh, Wilhelmina A']"
"Wadhwa, Wilima",Wilima Wadhwa,"['Wadhwa, Wilima', 'Wilima Wadhwa']"
Wilkie Simon,Wilkie Simon,['Wilkie Simon']
"Letterie, Wilko A.",Wilko A. Letterie,"['Letterie, Wilko A.', 'Wilko Letterie']"
"Bolt, Wilko",Wilko Bolt,"['Bolt, Wilko']"
"Davis, Will",Will Davis,"['Davis, Will']"
Will Dobbie,Will Dobbie,['Will Dobbie']
Will E. Mason,Will E. Mason,['Will E. Mason']
"Armstrong, Will J.",Will J. Armstrong,"['Armstrong, Will J.']"
"Martin, Will",Will Martin,"['Martin, Will']"
Will Tucker-Ray,Will Tucker-Ray,['Will Tucker-Ray']
Willa H. Friedman,Willa H. Friedman,['Willa H. Friedman']
"Chen, Willa W.",Willa W. Chen,"['Chen, Willa W.']"
Willaim G. Gale,Willaim G. Gale,['Willaim G. Gale']
Willard C. Beatty,Willard C. Beatty,['Willard C. Beatty']
Willard C. Fisher,Willard C. Fisher,"['Willard C. Fisher', 'Willard Fisher']"
Willard D. Arant,Willard D. Arant,['Willard D. Arant']
Willard E. Atkins,Willard E. Atkins,['Willard E. Atkins']
Willard E. Hotchkiss,Willard E. Hotchkiss,['Willard E. Hotchkiss']
"Witte, Willard E.",Willard E. Witte,"['Witte, Willard E.', 'Willard E. Witte', 'Witte, Willard E']"
"Mueller, Willard F",Willard F Mueller,"['Mueller, Willard F']"
Willard Hurst,Willard Hurst,['Willard Hurst']
Willard T. Carleton,Willard T. Carleton,"['Willard T. Carleton', 'Carleton, Willard T, et al', 'Carleton, Willard T']"
"Buijink, Willem",Willem Buijink,"['Buijink, Willem']"
"Buiter, Willem",Willem Buiter,"['Buiter, Willem', 'Willem H. Buiter', 'Buiter, Willem H', 'Buiter, Willem H.']"
"Verschoor, Willem F.C.",Willem F.C. Verschoor,"['Verschoor, Willem F.C.']"
"van Houwelingen, Willem H.",Willem H. van Houwelingen,"['van Houwelingen, Willem H.']"
"Heiser, Willem J.",Willem J. Heiser,"['Heiser, Willem J.']"
"Kooi, Willem J.",Willem J. Kooi,"['Kooi, Willem J.']"
"Niesing, Willem",Willem Niesing,"['Niesing, Willem']"
Willem Thorbecke,Willem Thorbecke,"['Willem Thorbecke', 'Thorbecke, Willem']"
"Van Zandweghe, Willem",Willem Van Zandweghe,"['Van Zandweghe, Willem']"
Willem Verbeke,Willem Verbeke,['Willem Verbeke']
"Kets, Willemien",Willemien Kets,"['Kets, Willemien']"
"Fischel, William A",William A Fischel,"['Fischel, William A']"
"Hamlen, William A, Jr",William A Hamlen,"['Hamlen, William A, Jr']"
"Kelly, William A, Jr",William A Kelly,"['Kelly, William A, Jr']"
"Longbrake, William A",William A Longbrake,"['Longbrake, William A']"
"Masters, William A",William A Masters,"['Masters, William A', 'William Masters', 'Masters, William A.']"
"Remaley, William A",William A Remaley,"['Remaley, William A']"
"Sundstrom, William A",William A Sundstrom,"['Sundstrom, William A']"
"Allen, William A.",William A. Allen,"['Allen, William A.']"
William A. Carter,William A. Carter,['William A. Carter']
"Niskanen, William A.",William A. Niskanen,"['Niskanen, William A.', 'William A. Niskanen', 'Niskanen, William A']"
William A. Pizer,William A. Pizer,"['William A. Pizer', 'Pizer, William A.']"
William A. Rawles,William A. Rawles,['William A. Rawles']
William A. Robinson,William A. Robinson,['William A. Robinson']
"Sahlman, William A.",William A. Sahlman,"['Sahlman, William A.']"
William A. Shelton,William A. Shelton,['William A. Shelton']
"Sims, William A.",William A. Sims,"['Sims, William A.', 'Sims, William A']"
William A. Spurr,William A. Spurr,['William A. Spurr']
"Alonso, William",William Alonso,"['Alonso, William']"
"Brueggeman, William B",William B Brueggeman,"['Brueggeman, William B']"
"Stronge, William B",William B Stronge,"['Stronge, William B']"
"Tye, William B",William B Tye,"['Tye, William B']"
"Walstad, William B",William B Walstad,"['Walstad, William B', 'William B. Walstad', 'William Walstad']"
"Elliott, William B.",William B. Elliott,"['Elliott, William B.']"
"English, William B.",William B. English,"['English, William B.', 'William English', 'English, William B']"
"Francis, William B.",William B. Francis,"['Francis, William B.']"
William B. Neenan,William B. Neenan,['William B. Neenan']
William B. Shaw,William B. Shaw,['William B. Shaw']
William B. Tayler,William B. Tayler,['William B. Tayler']
William B. Vogt,William B. Vogt,['William B. Vogt']
"Barnett, William",William Barnett,"['Barnett, William', 'William A. Barnett', 'A. Barnett, William', 'Barnett, William A.', 'Barnett, William A']"
"Bartlett, William",William Bartlett,"['Bartlett, William']"
William Bennett Munro,William Bennett Munro,['William Bennett Munro']
William Beranek,William Beranek,"['William Beranek', 'Beranek, William']"
William Block,William Block,['William Block']
"Bosshardt, William",William Bosshardt,"['Bosshardt, William', 'William Bosshardt']"
"Branch, William",William Branch,"['Branch, William', 'Branch, William A.', 'William A. Branch']"
"Breen, William",William Breen,"['Breen, William', 'William Breen', 'Breen, William J']"
"Breit, William",William Breit,"['Breit, William']"
William Brock,William Brock,"['William Brock', 'Brock, William A.', 'W. A. Brock', 'Brock, William A', 'Brock, William', 'Brock, W.', 'Brock, W. A.', 'William A. Brock']"
"Byrd, William",William Byrd,"['Byrd, William']"
"Perkins, William C",William C Perkins,"['Perkins, William C']"
"Randolph, William C",William C Randolph,"['Randolph, William C']"
"Weiler, William C",William C Weiler,"['Weiler, William C']"
"Wheaton, William C",William C Wheaton,"['Wheaton, William C', 'Wheaton, William C.']"
William C. Brainard,William C. Brainard,"['William C. Brainard', 'Brainard, William', 'Brainard, William C']"
William C. Downs,William C. Downs,['William C. Downs']
William C. Freund,William C. Freund,"['William C. Freund', 'Freund, William C', 'William Freund']"
"Gerken, William C.",William C. Gerken,"['Gerken, William C.']"
William C. Greenough,William C. Greenough,['William C. Greenough']
"Gruben, William C.",William C. Gruben,"['Gruben, William C.']"
William C. Hoekendorf,William C. Hoekendorf,['William C. Hoekendorf']
William C. Hollinger,William C. Hollinger,['William C. Hollinger']
William C. Horrace,William C. Horrace,"['William C. Horrace', 'Horrace, William C.']"
"Hunter, William C.",William C. Hunter,"['Hunter, William C.', 'William C. Hunter']"
"Johnson, William C.",William C. Johnson,"['Johnson, William C.', 'William Johnson']"
"Melton, William C.",William C. Melton,"['Melton, William C.']"
William C. Merrill,William C. Merrill,['William C. Merrill']
William C. Schwartz,William C. Schwartz,['William C. Schwartz']
William C. Strange,William C. Strange,"['William C. Strange', 'Strange, William C', 'Strange, William C.']"
William C. Weld,William C. Weld,['William C. Weld']
"Chan, William",William Chan,"['Chan, William', 'William Chan']"
William Christie MacLeod,William Christie MacLeod,['William Christie MacLeod']
"Riddell, William Craig",William Craig Riddell,"['Riddell, William Craig', 'W. Craig Riddell', 'Riddell, W Craig', 'Riddell, W. Craig']"
"Duncombe, William D",William D Duncombe,"['Duncombe, William D', 'Duncombe, William']"
"Ingram, William D",William D Ingram,"['Ingram, William D']"
"O'Neill, William D",William D O'Neill,"[""O'Neill, William D""]"
"Whisler, William D",William D Whisler,"['Whisler, William D']"
"White, William D",William D White,"['White, William D']"
"Drake, William D.",William D. Drake,"['Drake, William D.']"
William D. Grampp,William D. Grampp,['William D. Grampp']
William D. Lastrapes,William D. Lastrapes,"['William D. Lastrapes', 'Lastrapes, William D']"
"Nichols, William D.",William D. Nichols,"['Nichols, William D.']"
"D. Schulze, William",William D. Schulze,"['D. Schulze, William', 'Schulze, William D', 'Schulze, William D.', 'William D. Schulze', 'Schulze, William']"
William Darity,William Darity,"['William Darity', 'Darity, William Jr.', 'Darity, William, Jr', 'William A. Darity', 'Darity, William A, Jr']"
"Der, William",William Der,"['Der, William']"
William Downie Stewart,William Downie Stewart,['William Downie Stewart']
William Draper Lewis,William Draper Lewis,['William Draper Lewis']
William Dudley Foulke,William Dudley Foulke,['William Dudley Foulke']
"Dunkelberg, William",William Dunkelberg,"['Dunkelberg, William', 'Dunkelberg, William C', 'Dunkelberg, William C.']"
"Becker, William E",William E Becker,"['Becker, William E', 'William E. Becker', 'Becker, William E, Jr', 'Becker, William, et al']"
"Cole, William E",William E Cole,"['Cole, William E', 'Cole, William E.']"
"Even, William E",William E Even,"['Even, William E']"
"Gibson, William E",William E Gibson,"['Gibson, William E', 'William E. Gibson']"
"Jackson, William E, III",William E Jackson,"['Jackson, William E, III']"
"Spellman, William E",William E Spellman,"['Spellman, William E']"
"Spriggs, William E",William E Spriggs,"['Spriggs, William E']"
"Young, William E",William E Young,"['Young, William E']"
William E. Cullison,William E. Cullison,"['William E. Cullison', 'Cullison, William E']"
William E. Dodd,William E. Dodd,['William E. Dodd']
William E. Dunkman,William E. Dunkman,['William E. Dunkman']
"Jackson III, William E.",William E. Jackson III,"['Jackson III, William E.']"
William E. Kovacic,William E. Kovacic,['William E. Kovacic']
William E. Morgan,William E. Morgan,"['William E. Morgan', 'William Morgan', 'Morgan, William']"
"Phillips, William E.",William E. Phillips,"['Phillips, William E.']"
William E. Schenk,William E. Schenk,['William E. Schenk']
William E. Shaw,William E. Shaw,['William E. Shaw']
"Strawderman, William E.",William E. Strawderman,"['Strawderman, William E.']"
William E. Taylor,William E. Taylor,"['William E. Taylor', 'Taylor, William E.', 'Taylor, William E', 'W. G. Langworthy Taylor']"
William E. Watkins,William E. Watkins,['William E. Watkins']
"Easterly, William",William Easterly,"['Easterly, William', 'William Easterly']"
"Baxter, William F",William F Baxter,"['Baxter, William F']"
"Glassmire, William F, Jr",William F Glassmire,"['Glassmire, William F, Jr']"
"Hellmuth, William F",William F Hellmuth,"['Hellmuth, William F']"
"Kennedy, William F",William F Kennedy,"['Kennedy, William F']"
"Long, William F",William F Long,"['Long, William F']"
"Shughart, William F, II",William F Shughart,"['Shughart, William F, II']"
"Wright, William F",William F Wright,"['Wright, William F', 'Wright, W David C', 'Wright, W D C']"
"Bassett, William F.",William F. Bassett,"['Bassett, William F.']"
William F. Beazer,William F. Beazer,['William F. Beazer']
"Blankenau, William F.",William F. Blankenau,"['Blankenau, William F.', 'William F. Blankenau']"
William F. Brown,William F. Brown,['William F. Brown']
William F. Harding,William F. Harding,['William F. Harding']
William F. Hellmuth Jr.,William F. Hellmuth Jr.,['William F. Hellmuth Jr.']
William F. Kordsmeier,William F. Kordsmeier,['William F. Kordsmeier']
William F. Lincoln,William F. Lincoln,"['William F. Lincoln', 'Lincoln, William F.']"
William F. Maloney,William F. Maloney,"['William F. Maloney', 'William Maloney', 'Maloney, William F.', 'Maloney, William']"
"Maxwell, William F.",William F. Maxwell,"['Maxwell, William F.', 'William Maxwell', 'Maxwell, William', 'William F. Maxwell']"
William F. Spalding,William F. Spalding,['William F. Spalding']
"Treacy, William F.",William F. Treacy,"['Treacy, William F.']"
William F. Willoughby,William F. Willoughby,"['William F. Willoughby', 'William Franklin Willoughby']"
"Fellner, William",William Fellner,"['Fellner, William', 'Fellner, William J', 'William Fellner']"
William Fielding Ogburn,William Fielding Ogburn,['William Fielding Ogburn']
"Fuchs, William",William Fuchs,"['Fuchs, William', 'William Fuchs']"
William Fung,William Fung,"['William Fung', 'Fung, W.K.H.', 'Fung, William K. H.', 'Fung, W. K. H.', 'Fung, William K H', 'Fung, W. K. F.', 'Fung, W K H', 'Fung, William']"
"Bowen, William G",William G Bowen,"['Bowen, William G', 'William G. Bowen']"
"Dewald, William G",William G Dewald,"['Dewald, William G', 'William G. Dewald', 'Dewald, William G.']"
"Foote, William G",William G Foote,"['Foote, William G', 'Foote, William']"
"Gale, William G",William G Gale,"['Gale, William G', 'Gale, William G.', 'William G. Gale', 'William Gale']"
"Grigsby, William G",William G Grigsby,"['Grigsby, William G']"
"Johnson, William G",William G Johnson,"['Johnson, William G', 'William Johnson', 'William G. Johnson']"
"Shepherd, William G",William G Shepherd,"['Shepherd, William G']"
William G. Bostic Jr.,William G. Bostic Jr.,"['William G. Bostic Jr.', 'William Darity Jr.']"
William G. Christie,William G. Christie,"['William G. Christie', 'Christie, William G.', 'Christie, William G']"
"Colclough, William G.",William G. Colclough,"['Colclough, William G.']"
William G. Haber,William G. Haber,['William G. Haber']
"Moss, William G.",William G. Moss,"['Moss, William G.']"
"Stanford, William G.",William G. Stanford,"['Stanford, William G.', 'Stanford, William']"
"Tyler, William G.",William G. Tyler,"['Tyler, William G.', 'Tyler, William G']"
William Geller,William Geller,['William Geller']
William George Nelson IV,William George Nelson IV,['William George Nelson IV']
"Ginsberg, William",William Ginsberg,"['Ginsberg, William']"
"Glade, William",William Glade,"['Glade, William']"
"Goetzmann, William",William Goetzmann,"['Goetzmann, William', 'Goetzmann, William Nelson', 'Goetzmann, William N', 'William Goetzmann', 'Goetzmann, William N.', 'William N. Goetzmann']"
William Goldner,William Goldner,['William Goldner']
"Gould, William",William Gould,"['Gould, William']"
"Goulding, William",William Goulding,"['Goulding, William']"
"Branson, William H",William H Branson,"['Branson, William H', 'William H. Branson', 'Branson, W. H.', 'Branson, William H.', 'Branson, William']"
"Furtan, William H",William H Furtan,"['Furtan, William H', 'Furtan, W. Hartley']"
"Hawthorne, William H",William H Hawthorne,"['Hawthorne, William H']"
"Hoyt, William H",William H Hoyt,"['Hoyt, William H', 'Hoyt, William H.']"
"Jean, William H",William H Jean,"['Jean, William H', 'Jean, William H.', 'William H. Jean']"
"Kaemfer, William H",William H Kaemfer,"['Kaemfer, William H']"
"Lesser, William H",William H Lesser,"['Lesser, William H']"
"Meckling, William H",William H Meckling,"['Meckling, William H', 'Meckling, William H.', 'Meckling, William']"
"Melody, William H",William H Melody,"['Melody, William H']"
"Oakland, William H",William H Oakland,"['Oakland, William H', 'Oakland, William H.', 'Oakland, William']"
"Riker, William H",William H Riker,"['Riker, William H']"
"Sewell, William H",William H Sewell,"['Sewell, William H']"
"Waldorf, William H",William H Waldorf,"['Waldorf, William H']"
William H. Brown,William H. Brown,['William H. Brown']
William H. Buiter,William H. Buiter,['William H. Buiter']
William H. Carter,William H. Carter,['William H. Carter']
"Dare, William H.",William H. Dare,"['Dare, William H.', 'William H. Dare']"
"Davidson, William H.",William H. Davidson,"['Davidson, William H.']"
William H. Desvousges,William H. Desvousges,"['William H. Desvousges', 'Desvousges, William H']"
William H. Dow,William H. Dow,['William H. Dow']
William H. Dunbar,William H. Dunbar,['William H. Dunbar']
William H. Fichthorn,William H. Fichthorn,['William H. Fichthorn']
